species,long,lat
physeter_macrocephalus,459964.0414,1693782.834
physeter_macrocephalus,459655.1399,1694553.343
physeter_macrocephalus,458891.6143,1695461.506
physeter_macrocephalus,458891.6143,1695461.506
physeter_macrocephalus,458732.4705,1695779.114
physeter_macrocephalus,458279.2491,1698077.637
physeter_macrocephalus,457556.5238,1699312.256
physeter_macrocephalus,457477.6702,1699304.351
physeter_macrocephalus,457634.3454,1699268.543
physeter_macrocephalus,455738.9175,1702234.551
physeter_macrocephalus,454907.835,1704595.109
physeter_macrocephalus,455089.7409,1704578.941
physeter_macrocephalus,445551.7598,1703924.724
physeter_macrocephalus,445581.49,1703172.464
physeter_macrocephalus,447122.2091,1702913.97
physeter_macrocephalus,449936.2045,1704451.313
physeter_macrocephalus,453555.5917,1704979.908
physeter_macrocephalus,452340.4724,1705571.573
physeter_macrocephalus,453805.1568,1706765.184
physeter_macrocephalus,453687.6192,1706341.873
physeter_macrocephalus,454392.2975,1703815.437
physeter_macrocephalus,453746.9463,1703644.22
physeter_macrocephalus,453486.4785,1702559.03
physeter_macrocephalus,457257.5896,1693402.718
physeter_macrocephalus,459520.9464,1691464.8
physeter_macrocephalus,459667.9934,1688945.982
physeter_macrocephalus,457055.3689,1697143.042
physeter_macrocephalus,458266.5619,1697862.816
physeter_macrocephalus,457838.852,1698072.94
physeter_macrocephalus,454117.3642,1697934.482
physeter_macrocephalus,452926.8194,1697939.393
physeter_macrocephalus,455579.785,1694553.753
physeter_macrocephalus,453153.8988,1693622.423
physeter_macrocephalus,459430.6491,1692307.071
physeter_macrocephalus,460471.8544,1691401.424
physeter_macrocephalus,461836.2976,1686820.537
physeter_macrocephalus,451930.2124,1690888.635
physeter_macrocephalus,453834.8136,1685146.276
physeter_macrocephalus,457232.3076,1684145.27
physeter_macrocephalus,460965.9451,1680085.942
physeter_macrocephalus,464587.9749,1675807.335
physeter_macrocephalus,462742.4369,1678718.362
physeter_macrocephalus,457430.2237,1684240.087
physeter_macrocephalus,457925.5763,1687910.943
physeter_macrocephalus,456816.8854,1687912.322
physeter_macrocephalus,453074.8685,1689963.915
physeter_macrocephalus,454285.2261,1692943.376
physeter_macrocephalus,454336.2606,1693036.051
physeter_macrocephalus,455407.2309,1697090.318
physeter_macrocephalus,458913.3667,1689685.669
physeter_macrocephalus,457703.1192,1690714.96
physeter_macrocephalus,455283.7609,1692199.968
physeter_macrocephalus,455161.4912,1692759.165
physeter_macrocephalus,454709.5639,1692963.373
physeter_macrocephalus,457330.7534,1689477.565
physeter_macrocephalus,458226.7091,1688399.398
physeter_macrocephalus,463136.0369,1684803.837
physeter_macrocephalus,451989.5385,1687585.245
physeter_macrocephalus,453550.9781,1685087.474
physeter_macrocephalus,452361.5377,1686597.053
physeter_macrocephalus,453883.812,1681936.624
physeter_macrocephalus,453815.52,1681327.743
physeter_macrocephalus,453944.3117,1681193.942
physeter_macrocephalus,455105.7003,1682175.054
physeter_macrocephalus,457690.9748,1681553.67
physeter_macrocephalus,458075.0694,1682532.395
